股票名稱,日期,日報酬率(%)
2454 聯發科,2019/5/22,-1.0327
2454 聯發科,2019/5/23,1.5652
2454 聯發科,2019/5/24,-1.7123
2454 聯發科,2019/5/27,-2.0906
2454 聯發科,2019/5/28,-0.1779
2454 聯發科,2019/5/29,0
2454 聯發科,2019/5/30,5.7041
2454 聯發科,2019/5/31,4.8904
2454 聯發科,2019/6/3,0.9646
2454 聯發科,2019/6/4,-0.9554
2454 聯發科,2019/6/5,0.6431
2454 聯發科,2019/6/6,-1.9169
2454 聯發科,2019/6/10,2.9316
2454 聯發科,2019/6/11,-2.5316
2454 聯發科,2019/6/12,0.487
2454 聯發科,2019/6/13,0
2454 聯發科,2019/6/14,-0.8078
2454 聯發科,2019/6/17,-2.1173
2454 聯發科,2019/6/18,2.6622
2454 聯發科,2019/6/19,0
2454 聯發科,2019/6/20,0.4862
2454 聯發科,2019/6/21,1.129
2454 聯發科,2019/6/24,0.638
2454 聯發科,2019/6/25,-1.2678
2454 聯發科,2019/6/26,-0.321
2454 聯發科,2019/6/27,0.8052
2454 聯發科,2019/6/28,0.3195
2454 聯發科,2019/7/1,0
2454 聯發科,2019/7/2,1.5924
2454 聯發科,2019/7/3,-0.4702
2454 聯發科,2019/7/4,0.4724
2454 聯發科,2019/7/5,0.627
2454 聯發科,2019/7/8,0.6231
2454 聯發科,2019/7/9,-0.1592
2454 聯發科,2019/7/10,1.4354
2454 聯發科,2019/7/11,1.4151
2454 聯發科,2019/7/12,-1.3953
2454 聯發科,2019/7/15,-1.1006
2454 聯發科,2019/7/16,-0.159
2454 聯發科,2019/7/17,-1.2739
2454 聯發科,2019/7/18,-2.5806
2454 聯發科,2019/7/19,0.8278
2454 聯發科,2019/7/22,1.3136
2454 聯發科,2019/7/23,1.9449
2454 聯發科,2019/7/24,-2.0668
2454 聯發科,2019/7/25,1.6234
2454 聯發科,2019/7/26,0.1597
2454 聯發科,2019/7/29,1.7544
2454 聯發科,2019/7/30,2.0376
2454 聯發科,2019/7/31,-3.3794
2454 聯發科,2019/8/1,-0.159
2454 聯發科,2019/8/2,0.6369
2454 聯發科,2019/8/5,-1.2658
2454 聯發科,2019/8/6,-0.9615
2454 聯發科,2019/8/7,2.9126
2454 聯發科,2019/8/8,-0.4717
2454 聯發科,2019/8/12,2.0537
2454 聯發科,2019/8/13,-1.548
2454 聯發科,2019/8/14,0.4717
2454 聯發科,2019/8/15,-0.939
2454 聯發科,2019/8/16,1.7378
2454 聯發科,2019/8/19,9.6273
2454 聯發科,2019/8/20,-0.5666
2454 聯發科,2019/8/21,-1.1396
2454 聯發科,2019/8/22,-0.5764
2454 聯發科,2019/8/23,-0.7246
2454 聯發科,2019/8/26,0.146
2454 聯發科,2019/8/27,0.7289
2454 聯發科,2019/8/28,5.9334
2454 聯發科,2019/8/29,-0.1366
2454 聯發科,2019/8/30,0.5472
2454 聯發科,2019/9/2,0.8163
2454 聯發科,2019/9/3,-1.7544
2454 聯發科,2019/9/4,0.2747
2454 聯發科,2019/9/5,0.6849
2454 聯發科,2019/9/6,1.9048
2454 聯發科,2019/9/9,2.1362
2454 聯發科,2019/9/10,-1.1765
2454 聯發科,2019/9/11,-0.9259
2454 聯發科,2019/9/12,0.1335
2454 聯發科,2019/9/16,1.8667
2454 聯發科,2019/9/17,0.2618
2454 聯發科,2019/9/18,-0.2611
2454 聯發科,2019/9/19,-0.3927
2454 聯發科,2019/9/20,1.5769
2454 聯發科,2019/9/23,0.3881
2454 聯發科,2019/9/24,-0.2577
2454 聯發科,2019/9/25,-1.8088
2454 聯發科,2019/9/26,-1.0526
2454 聯發科,2019/9/27,-1.8617
2454 聯發科,2019/10/1,2.0325
2454 聯發科,2019/10/2,-1.1952
2454 聯發科,2019/10/3,2.0161
2454 聯發科,2019/10/4,1.581
2454 聯發科,2019/10/7,-0.3891
2454 聯發科,2019/10/8,0.1302
2454 聯發科,2019/10/9,-3.251
2454 聯發科,2019/10/14,-0.4032
2454 聯發科,2019/10/15,-0.9447
2454 聯發科,2019/10/16,-1.9074
2454 聯發科,2019/10/17,3.0556
2454 聯發科,2019/10/18,-0.2695
2454 聯發科,2019/10/21,-0.2703
2454 聯發科,2019/10/22,0.6775
2454 聯發科,2019/10/23,0.1346
2454 聯發科,2019/10/24,2.5538
2454 聯發科,2019/10/25,-0.6553
2454 聯發科,2019/10/28,2.1108
2454 聯發科,2019/10/29,1.5504
2454 聯發科,2019/10/30,0.8906
2454 聯發科,2019/10/31,2.9004
2454 聯發科,2019/11/1,-0.7353
2454 聯發科,2019/11/4,1.7284
2454 聯發科,2019/11/5,3.1553
2454 聯發科,2019/11/6,2.1176
2454 聯發科,2019/11/7,-2.0737
2454 聯發科,2019/11/8,-2.5882
2454 聯發科,2019/11/11,-2.5362
2454 聯發科,2019/11/12,1.6109
2454 聯發科,2019/11/13,-0.4878
2454 聯發科,2019/11/14,0.6127
2454 聯發科,2019/11/15,2.8015
2454 聯發科,2019/11/18,-0.5924
2454 聯發科,2019/11/19,0.3576
2454 聯發科,2019/11/20,-1.5439
2454 聯發科,2019/11/21,-1.8094
2454 聯發科,2019/11/22,0.9828
2454 聯發科,2019/11/25,1.8248
2454 聯發科,2019/11/26,0.3584
2454 聯發科,2019/11/27,0.5952
2454 聯發科,2019/11/28,2.1302
2454 聯發科,2019/11/29,-2.3175
2454 聯發科,2019/12/2,-1.1862
2454 聯發科,2019/12/3,0.3601
2454 聯發科,2019/12/4,1.555
2454 聯發科,2019/12/5,-1.0601
2454 聯發科,2019/12/6,-1.1905
2454 聯發科,2019/12/9,2.7711
2454 聯發科,2019/12/10,-0.3517
2454 聯發科,2019/12/11,0.9412
2454 聯發科,2019/12/12,-0.3497
2454 聯發科,2019/12/13,1.1696
2454 聯發科,2019/12/16,2.1965
2454 聯發科,2019/12/17,4.1855
2454 聯發科,2019/12/18,-0.8686
2454 聯發科,2019/12/19,-0.4381
2454 聯發科,2019/12/20,-1.8702
2454 聯發科,2019/12/23,0.6726
2454 聯發科,2019/12/24,-0.8909
2454 聯發科,2019/12/25,1.573
2454 聯發科,2019/12/26,-0.6637
2454 聯發科,2019/12/27,-0.5568
2454 聯發科,2019/12/30,0
2454 聯發科,2019/12/31,-0.6719
2454 聯發科,2020/1/2,-0.451
2454 聯發科,2020/1/3,-1.5855
2454 聯發科,2020/1/6,-2.4166
2454 聯發科,2020/1/7,0.4717
2454 聯發科,2020/1/8,1.0563
2454 聯發科,2020/1/9,1.5099
2454 聯發科,2020/1/10,-1.1442
2454 聯發科,2020/1/13,-2.3148
2454 聯發科,2020/1/14,-1.4218
2454 聯發科,2020/1/15,0
2454 聯發科,2020/1/16,1.2019
2454 聯發科,2020/1/17,-0.1188
2454 聯發科,2020/1/20,-0.3567
2454 聯發科,2020/1/30,-8.4726
2454 聯發科,2020/1/31,1.1734
2454 聯發科,2020/2/3,-1.5464
2454 聯發科,2020/2/4,2.2251
